"","complnum","crimesuccess","HOUSING_PSA","JURISDICTION_CODE","jurisdic","code1","crimelevel","loc_desc","offense_desc1","park","PATROL_BORO","code2","offense_desc2","premise_type","date","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"498",213173459,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","FRONT OF","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN SOUTH",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","HOTEL/MOTEL","05/06/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.765912797,-73.980944144,"(40.765912797, -73.980944144)","2018","06","05"
"499",924770872,"COMPLETED",4552,2,"N.Y. HOUSING POLICE",112,"FELONY","REAR OF","THEFT-FRAUD",NA,"PATROL BORO MAN NORTH",489,"THEFT,RELATED OFFENSES,UNCLASS","RESIDENCE - PUBLIC HOUSING","05/06/2018",NA,"UNKNOWN","UNKNOWN","F",NA,"45-64","BLACK","M",40.830905528,-73.936052486,"(40.830905528, -73.936052486)","2018","06","05"
"500",154772248,"COMPLETED",NA,0,"N.Y. POLICE DEPT",107,"FELONY","INSIDE","BURGLARY",NA,"PATROL BORO MAN SOUTH",213,"BURGLARY,COMMERCIAL,NIGHT","BAR/NIGHT CLUB","05/06/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.727490371,-73.992352614,"(40.727490371, -73.992352614)","2018","06","05"
"501",501000344,"COMPLETED",670,2,"N.Y. HOUSING POLICE",344,"MISDEMEANOR","INSIDE","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN NORTH",101,"ASSAULT 3","RESIDENCE - PUBLIC HOUSING","05/06/2018",NA,"25-44","WHITE HISPANIC","M",NA,"25-44","BLACK","F",40.80138689,-73.93270006,"(40.80138689, -73.93270006)","2018","06","05"
"502",211703207,"COMPLETED",NA,1,"N.Y. TRANSIT POLICE",344,"MISDEMEANOR",NA,"ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN SOUTH",101,"ASSAULT 3","TRANSIT - NYC SUBWAY","05/06/2018","59 ST.-COLUMBUS CIRCLE",NA,NA,NA,1,"25-44","UNKNOWN","M",40.765024079,-73.98483595,"(40.765024079, -73.98483595)","2018","06","05"
"503",324979703,"COMPLETED",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","FRONT OF","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN NORTH",101,"ASSAULT 3","COMMERCIAL BUILDING","05/06/2018",NA,"25-44","WHITE HISPANIC","M",NA,"25-44","BLACK","M",40.800334261,-73.945656972,"(40.800334261, -73.945656972)","2018","06","05"
"504",257607494,"COMPLETED",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","FRONT OF","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN NORTH",101,"ASSAULT 3","COMMERCIAL BUILDING","05/06/2018",NA,NA,NA,NA,NA,"25-44","WHITE HISPANIC","M",40.800334261,-73.945656972,"(40.800334261, -73.945656972)","2018","06","05"
"505",392986721,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","FRONT OF","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN SOUTH",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","RESTAURANT/DINER","05/06/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.722135555,-73.996696839,"(40.722135555, -73.996696839)","2018","06","05"
"506",696215120,"COMPLETED",NA,0,"N.Y. POLICE DEPT",107,"FELONY","INSIDE","BURGLARY",NA,"PATROL BORO MAN SOUTH",221,"BURGLARY,RESIDENCE,DAY","RESIDENCE - APT. HOUSE","05/06/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"25-44","WHITE","M",40.718394274,-73.9928587,"(40.718394274, -73.9928587)","2018","06","05"
"507",713604748,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",405,"LARCENY,GRAND BY THEFT OF CREDIT CARD","OTHER","05/06/2018",NA,"18-24","BLACK","M",NA,"25-44","WHITE","F",40.756169767,-73.971562247,"(40.756169767, -73.971562247)","2018","06","05"
"508",377454250,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","INSIDE","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN SOUTH",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMMERCIAL BUILDING","05/06/2018",NA,"25-44","BLACK","M",NA,"UNKNOWN","UNKNOWN","D",40.714831622,-73.993677928,"(40.714831622, -73.993677928)","2018","06","05"
"509",147510968,"COMPLETED",NA,1,"N.Y. TRANSIT POLICE",341,"MISDEMEANOR",NA,"PETIT LARCENY",NA,"PATROL BORO MAN NORTH",339,"LARCENY,PETIT FROM OPEN AREAS,","TRANSIT - NYC SUBWAY","05/06/2018","207 ST.-INWOOD","UNKNOWN","UNKNOWN","U",3,"25-44","WHITE","M",40.86770011,-73.921215047,"(40.86770011, -73.921215047)","2018","06","05"
"510",946521635,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","FRONT OF","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN SOUTH",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","RESIDENCE - APT. HOUSE","05/06/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.744326028,-73.985472209,"(40.744326028, -73.985472209)","2018","06","05"
"511",593118617,"COMPLETED",NA,0,"N.Y. POLICE DEPT",121,"FELONY","FRONT OF","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN SOUTH",269,"MISCHIEF,CRIMINAL,    UNCL 2ND","BAR/NIGHT CLUB","05/06/2018",NA,"25-44","WHITE HISPANIC","M",NA,"UNKNOWN","UNKNOWN","D",40.756225283,-73.994244301,"(40.756225283, -73.994244301)","2018","06","05"
"512",720200979,"COMPLETED",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","FRONT OF","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN NORTH",101,"ASSAULT 3","STREET","05/06/2018",NA,"UNKNOWN","UNKNOWN","M",NA,"25-44","BLACK","M",40.82754677,-73.937461313,"(40.82754677, -73.937461313)","2018","06","05"
"513",730394013,"COMPLETED",NA,0,"N.Y. POLICE DEPT",347,"MISDEMEANOR",NA,"INTOXICATED & IMPAIRED DRIVING",NA,"PATROL BORO MAN NORTH",905,"INTOXICATED DRIVING,ALCOHOL","STREET","05/06/2018",NA,"25-44","BLACK","M",NA,"UNKNOWN","UNKNOWN","E",40.80642316,-73.94226374,"(40.80642316, -73.94226374)","2018","06","05"
"514",527542487,"COMPLETED",566,2,"N.Y. HOUSING POLICE",344,"MISDEMEANOR","INSIDE","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN SOUTH",101,"ASSAULT 3","RESIDENCE - PUBLIC HOUSING","05/06/2018",NA,"25-44","WHITE HISPANIC","M",NA,"25-44","WHITE HISPANIC","F",40.744639755,-74.004541406,"(40.744639755, -74.004541406)","2018","06","05"
"515",496720246,"COMPLETED",NA,0,"N.Y. POLICE DEPT",116,"FELONY","INSIDE","SEX CRIMES",NA,"PATROL BORO MAN SOUTH",164,"SODOMY 3","BAR/NIGHT CLUB","05/06/2018",NA,"25-44","BLACK","M",NA,"25-44","WHITE","F",40.764818269,-73.985189773,"(40.764818269, -73.985189773)","2018","06","05"
"516",193178922,"COMPLETED",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2",NA,"PATROL BORO MAN SOUTH",638,"HARASSMENT,SUBD 3,4,5","RESIDENCE - APT. HOUSE","05/06/2018",NA,"25-44","WHITE","M",NA,"25-44","ASIAN/PAC.ISL","M",40.743525027,-73.972870423,"(40.743525027, -73.972870423)","2018","06","05"
"517",276000130,"COMPLETED",NA,1,"N.Y. TRANSIT POLICE",106,"FELONY",NA,"FELONY ASSAULT",NA,"PATROL BORO MAN SOUTH",109,"ASSAULT 2,1,UNCLASSIFIED","TRANSIT - NYC SUBWAY","05/06/2018","50 STREET","18-24","BLACK","F",1,"25-44","BLACK","M",40.76229871,-73.98610723,"(40.76229871, -73.98610723)","2018","06","05"
"518",816875225,"COMPLETED",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION",NA,"HARRASSMENT 2",NA,"PATROL BORO MAN SOUTH",637,"HARASSMENT,SUBD 1,CIVILIAN","STREET","05/06/2018",NA,"UNKNOWN","UNKNOWN","M",NA,"45-64","BLACK HISPANIC","F",40.726062174,-73.98353516,"(40.726062174, -73.98353516)","2018","06","05"
"519",980781478,"COMPLETED",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","INSIDE","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN SOUTH",101,"ASSAULT 3","MARINA/PIER","05/06/2018",NA,"25-44","BLACK","M",NA,"25-44","BLACK","F",40.729488307,-74.010735392,"(40.729488307, -74.010735392)","2018","06","05"
