"","complnum","date","code1","offense_desc1","code2","offense_desc2","crimesuccess","crimelevel","jurisdic","loc_desc","premise_type","park","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"2632",751228512,"04/12/2017",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","REAR OF","RESIDENCE - APT. HOUSE",NA,40.725075199,-74.002999537,"(40.725075199, -74.002999537)","2017","12","04"
"2633",891368898,"04/12/2017",117,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO","COMPLETED","FELONY","N.Y. POLICE DEPT",NA,"STREET",NA,40.815696257,-73.958292572,"(40.815696257, -73.958292572)","2017","12","04"
"2634",517511395,"04/12/2017",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","LIQUOR STORE",NA,40.825817778,-73.948974825,"(40.825817778, -73.948974825)","2017","12","04"
"2635",905236073,"04/12/2017",361,"OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.826247331,-73.945971847,"(40.826247331, -73.945971847)","2017","12","04"
"2636",575239668,"04/12/2017",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.742933823,-73.981210547,"(40.742933823, -73.981210547)","2017","12","04"
"2637",727011607,"04/12/2017",118,"DANGEROUS WEAPONS",792,"WEAPONS POSSESSION 1 & 2","COMPLETED","FELONY","N.Y. POLICE DEPT",NA,"STREET",NA,40.806304584,-73.936018325,"(40.806304584, -73.936018325)","2017","12","04"
"2638",608991565,"04/12/2017",344,"ASSAULT 3 & RELATED OFFENSES",113,"MENACING,UNCLASSIFIED","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.791997616,-73.949719421,"(40.791997616, -73.949719421)","2017","12","04"
"2639",633647356,"04/12/2017",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.72479103,-73.981424915,"(40.72479103, -73.981424915)","2017","12","04"
"2640",974646048,"04/12/2017",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.797467517,-73.932870163,"(40.797467517, -73.932870163)","2017","12","04"
"2641",281841284,"04/12/2017",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"STREET",NA,40.744458279,-73.973028833,"(40.744458279, -73.973028833)","2017","12","04"
